"yyyymm"	"Cnsmr"	"Manuf"	"HiTec"	"Hlth"	"Other"	"b.m"	"ntis"	"infl"
197610	-1.26	-2.73	-2.36	-3.75	-0.46	0.8120796327	0.02556797	0.0052083333
197611	1.86	0.55	2.24	-9.69	2.04	0.8272629379	0.0278942414	0.0017271157
197612	5.77	6.22	3.69	6.26	8.38	0.779973125	0.028565706	0.0034482759
197701	-4.97	-2.69	-2.34	-8.82	-4.15	0.8210652053	0.02959896	0.0051546392
197702	-2.23	-1.95	0	-0.21	-1.75	0.8368039982	0.0279694334	0.0102564103
197703	-2.43	-0.74	-0.44	-1.79	-0.11	0.8684299283	0.0303375593	0.0067681895
197704	0.24	1.47	-1.82	-5.2	2.16	0.8611500701	0.0311393585	0.0084033613
197705	-1.31	-1.16	-0.29	-1.88	-0.84	0.8882113369	0.0353156385	0.005
197706	4.87	4.7	5.38	9.04	5.34	0.8711120812	0.0319412841	0.0066334992
197707	-0.42	-2.12	-0.45	-2.24	-0.36	0.8967833991	0.0331820207	0.0049423394
197708	1.05	-3.07	-0.62	3.79	-1.24	0.9265342604	0.0337507391	0.0032786885
197709	0.44	0.18	0.29	-0.84	-0.08	0.9422625161	0.0323679755	0.0032679739
197710	-3.64	-3.87	-3.95	-1.68	-4.43	0.9753772836	0.0327754954	0.003257329
197711	3.97	3.97	4.01	6.02	6.46	0.9620344703	0.029217127	0.0048701299
197712	-0.6	0.94	2.31	0.59	0.64	0.9603330245	0.0304755411	0.0032310178
197801	-6.25	-5.98	-4.5	-1.86	-5.32	1.0367310889	0.0288143894	0.0064412238
197802	0.05	-1.6	-0.48	-3	-0.16	1.0755672937	0.0311691409	0.0064
197803	4.38	2.97	0.68	4.16	5.43	1.1114925531	0.0275697476	0.0079491256
197804	8.93	7.63	8.97	9.2	9.33	1.0053504037	0.0229459889	0.0078864353
197805	2.05	2.48	0.83	5.25	2.55	1.0014156386	0.0165594591	0.0093896714
197806	-1.57	-1.79	-0.81	1.1	-0.27	1.0279015813	0.0165234648	0.0108527132
197807	4.33	5.4	5.75	8.87	6.57	0.9762603361	0.0146714141	0.0076687117
197808	4.15	3.6	5.09	1	6.35	0.9600602176	0.0120250518	0.00456621
197809	-1.06	0.37	-2.16	-2.75	-1.25	0.9722575131	0.012726385	0.0075757576
197810	-12.17	-10.36	-8.39	-12.84	-14.07	1.0622752224	0.0143756625	0.0090225564
